Date,geral,alimentos,habitacao,artigos_residencia,vestuario,transporte,comunicacao,saude,gastos_pessoais,educacao,geral_indice,alimentos_indice,habitacao_indice,artigos_residencia_indice,vestuario_indice,transporte_indice,comunicacao_indice,saude_indice,gastos_pessoais_indice,educacao_indice
09/2009,0.24,-0.14,0.62,-0.03,0.58,0.27,0.22,0.3,0.52,0.07,143.16,142.24,145.66,111.80,156.53,133.50,147.06,150.73,160.89,158.03
10/2009,0.28,-0.09,0.28,0.38,0.64,0.51,0.91,0.3,0.2,0.04,143.56,142.11,146.07,112.23,157.53,134.18,148.39,151.18,161.21,158.10
11/2009,0.41,0.58,0.19,0.43,0.58,0.61,0.01,0.24,0.55,0.01,144.15,142.94,146.35,112.71,158.45,135.00,148.41,151.54,162.10,158.11
12/2009,0.37,0.24,0.17,0.51,0.76,0.78,-0.11,0.24,0.46,0.1,144.68,143.28,146.60,113.29,159.65,136.05,148.25,151.90,162.84,158.27
01/2010,0.75,1.13,0.27,0.41,0.31,1.45,0,0.36,0.78,0.26,145.77,144.90,146.99,113.75,160.15,138.02,148.25,152.45,164.11,158.68
02/2010,0.78,0.96,0.31,0.36,-0.52,0.79,0.03,0.23,0.4,4.53,146.91,146.29,147.45,114.16,159.31,139.11,148.29,152.80,164.77,165.87
03/2010,0.52,1.55,0.32,1,0.66,-0.54,0.08,0.27,0.77,0.54,147.67,148.56,147.92,115.30,160.37,138.36,148.41,153.21,166.04,166.76
04/2010,0.57,1.45,0.08,-0.04,1.28,-0.08,-0.03,0.84,0.66,0.11,148.51,150.71,148.04,115.26,162.42,138.25,148.36,154.50,167.13,166.95
05/2010,0.43,0.28,0.78,0.59,0.91,0.09,-0.01,0.74,0.75,0.04,149.15,151.14,149.20,115.94,163.90,138.37,148.35,155.64,168.39,167.01
06/2010,0,-0.9,0.4,0.35,0.58,-0.21,0.02,0.57,0.74,0.03,149.15,149.77,149.79,116.34,164.85,138.08,148.38,156.53,169.63,167.06
07/2010,0.01,-0.76,0.54,0.29,-0.04,0.08,0,0.31,0.54,-0.03,149.16,148.64,150.60,116.68,164.78,138.19,148.38,157.02,170.55,167.01
08/2010,0.04,-0.24,0.23,-0.31,0.17,-0.09,-0.03,0.26,0.2,0.44,149.22,148.28,150.95,116.32,165.06,138.07,148.33,157.43,170.89,167.75
09/2010,0.45,1.08,0.4,0.46,0.45,0.13,0.04,0.36,0.34,0.08,149.90,149.88,151.55,116.85,165.80,138.25,148.39,157.99,171.47,167.88
10/2010,0.75,1.89,0.48,0.37,0.89,0.36,0.29,0.26,0.64,0.02,151.02,152.71,152.28,117.28,167.28,138.75,148.82,158.40,172.57,167.92
11/2010,0.83,2.22,0.57,-0.12,1.25,0.13,0.42,0.36,0.74,0.06,152.27,156.10,153.15,117.14,169.37,138.93,149.45,158.97,173.85,168.02
12/2010,0.63,1.32,0.49,0.1,1.34,0.29,0.05,0.39,0.57,0.05,153.23,158.16,153.90,117.26,171.64,139.33,149.52,159.59,174.84,168.10
01/2011,0.83,1.16,0.61,0.25,0.12,1.55,0.29,0.47,0.83,0.3,154.50,160.00,154.84,117.55,171.85,141.49,149.96,160.34,176.29,168.61
02/2011,0.8,0.23,0.32,0.44,-0.25,0.46,0.49,0.31,1.43,5.81,155.74,160.37,155.33,118.07,171.42,142.14,150.69,160.84,178.81,178.40
03/2011,0.79,0.75,0.46,0.21,0.56,1.56,0.17,0.45,0.78,1.04,156.97,161.57,156.05,118.32,172.38,144.36,150.95,161.56,180.20,180.26
04/2011,0.77,0.58,0.77,-0.62,1.42,1.57,0,0.98,0.57,0.09,158.18,162.51,157.25,117.59,174.82,146.62,150.95,163.15,181.23,180.42
05/2011,0.47,0.63,0.97,0.09,1.19,-0.24,0.15,0.73,0.72,0.01,158.92,163.53,158.77,117.69,176.90,146.27,151.18,164.34,182.54,180.44
06/2011,0.15,-0.26,0.58,0.42,1.25,-0.61,-0.05,0.67,0.67,0.11,159.16,163.11,159.69,118.19,179.12,145.38,151.10,165.44,183.76,180.64
07/2011,0.16,-0.34,0.27,0.03,0.1,0.46,-0.04,0.47,0.49,0.11,159.42,162.55,160.12,118.22,179.30,146.05,151.04,166.22,184.66,180.84
08/2011,0.37,0.72,0.32,0.57,0.67,-0.11,-0.06,0.43,0.5,0.17,160.01,163.72,160.64,118.89,180.50,145.89,150.95,166.93,185.58,181.14
09/2011,0.53,0.64,0.71,-0.36,0.8,0.78,-0.04,0.34,0.53,0.14,160.85,164.77,161.78,118.47,181.94,147.03,150.89,167.50,186.57,181.40
10/2011,0.43,0.56,0.62,-0.2,0.74,0.48,0.13,0.45,0.22,0.07,161.55,165.69,162.78,118.23,183.29,147.73,151.08,168.25,186.98,181.52
11/2011,0.52,1.08,0.47,0.05,0.58,0.01,0.39,0.42,0.88,0.02,162.39,167.48,163.55,118.29,184.35,147.75,151.67,168.96,188.62,181.56
12/2011,0.5,1.23,0.45,-0.87,0.8,0,0.07,0.44,0.68,0.05,163.20,169.54,164.28,117.26,185.82,147.75,151.78,169.70,189.90,181.65
01/2012,0.56,0.86,0.53,0.16,0.07,0.69,0.21,0.3,0.71,0.39,164.11,171.00,165.15,117.45,185.95,148.77,152.10,170.21,191.25,182.36
02/2012,0.45,0.19,0.6,0.06,-0.23,-0.33,-0.17,0.7,0.88,5.62,164.85,171.32,166.14,117.52,185.53,148.28,151.84,171.40,192.94,192.61
03/2012,0.21,0.25,0.48,-0.4,-0.61,0.16,-0.36,0.38,0.55,0.54,165.20,171.75,166.94,117.05,184.40,148.51,151.29,172.06,194.00,193.65
04/2012,0.64,0.51,0.8,-0.79,0.98,0.1,0.46,0.96,2.23,0.04,166.25,172.63,168.28,116.12,186.20,148.66,151.99,173.71,198.32,193.72
05/2012,0.36,0.73,0.8,0.17,0.89,-0.58,-0.19,0.66,0.6,-0.01,166.85,173.89,169.62,116.32,187.86,147.80,151.70,174.85,199.51,193.71
06/2012,0.08,0.68,0.28,-0.03,0.39,-1.18,-0.01,0.38,0.47,0.06,166.99,175.07,170.10,116.29,188.59,146.06,151.69,175.52,200.45,193.82
07/2012,0.43,0.91,0.54,-0.01,0.04,-0.03,0.15,0.36,0.91,0.12,167.70,176.66,171.02,116.27,188.67,146.01,151.91,176.15,202.27,194.05
08/2012,0.41,0.88,0.22,0.4,0.19,0.06,-0.01,0.53,0.42,0.51,168.39,178.22,171.39,116.74,189.03,146.10,151.90,177.08,203.12,195.04
09/2012,0.57,1.26,0.71,0.18,0.89,-0.08,0.03,0.32,0.73,0.1,169.35,180.47,172.61,116.95,190.71,145.98,151.94,177.65,204.61,195.24
10/2012,0.59,1.36,0.38,0.37,1.09,0.24,0.31,0.48,0.1,0.05,170.35,182.92,173.26,117.38,192.79,146.33,152.41,178.50,204.81,195.34
11/2012,0.6,0.79,0.64,0.47,0.86,0.68,0.31,0.32,0.53,0.05,171.37,184.36,174.37,117.93,194.45,147.33,152.89,179.07,205.90,195.43
12/2012,0.79,1.03,0.63,0.27,1.11,0.75,0.03,0.4,1.6,0.19,172.73,186.26,175.47,118.25,196.60,148.43,152.93,179.79,209.19,195.81
01/2013,0.86,1.99,-0.2,1.15,-0.53,0.75,-0.08,0.73,1.55,0.35,174.21,189.97,175.12,119.61,195.56,149.55,152.81,181.10,212.43,196.49
02/2013,0.6,1.45,-2.38,0.53,0.55,0.81,0.1,0.65,0.57,5.4,175.26,192.72,170.95,120.25,196.64,150.76,152.96,182.28,213.64,207.10
03/2013,0.47,1.14,0.51,0.11,0.15,-0.09,0.13,0.32,0.54,0.56,176.08,194.92,171.83,120.38,196.93,150.62,153.16,182.86,214.80,208.26
04/2013,0.55,0.96,0.62,0.63,0.65,-0.19,-0.32,1.28,0.61,0.1,177.05,196.79,172.89,121.14,198.21,150.34,152.67,185.20,216.11,208.47
05/2013,0.37,0.31,0.75,0.46,0.84,-0.25,0.08,0.94,0.41,0.06,177.70,197.40,174.19,121.69,199.88,149.96,152.79,186.94,216.99,208.59
06/2013,0.26,0.04,0.57,0.12,0.5,0.14,0.19,0.36,0.4,0.18,178.17,197.48,175.18,121.84,200.88,150.17,153.08,187.62,217.86,208.97
07/2013,0.03,-0.33,0.57,0.28,-0.39,-0.66,0.2,0.34,1.13,0.11,178.22,196.83,176.18,122.18,200.09,149.18,153.39,188.26,220.32,209.20
08/2013,0.24,0.01,0.57,0.89,0.08,-0.06,0.02,0.45,0.39,0.67,178.65,196.85,177.18,123.27,200.25,149.09,153.42,189.10,221.18,210.60
09/2013,0.35,0.14,0.62,0.65,0.63,0.44,-0.04,0.46,0.2,0.12,179.27,197.13,178.28,124.07,201.51,149.74,153.36,189.97,221.63,210.85
10/2013,0.57,1.03,0.56,0.81,1.13,0.17,0.08,0.39,0.43,0.09,180.29,199.16,179.28,125.07,203.79,150.00,153.48,190.71,222.58,211.04
11/2013,0.54,0.56,0.69,0.38,0.85,0.36,0.4,0.41,0.87,0.08,181.27,200.27,180.52,125.55,205.52,150.54,154.10,191.50,224.52,211.21
12/2013,0.92,0.89,0.52,0.89,0.8,1.85,0.74,0.41,1,0.05,182.94,202.05,181.46,126.67,207.17,153.32,155.24,192.28,226.76,211.32
01/2014,0.55,0.84,0.55,0.49,-0.15,-0.03,0.03,0.48,1.72,0.57,183.94,203.75,182.45,127.29,206.86,153.28,155.28,193.20,230.66,212.52
02/2014,0.69,0.56,0.77,1.07,-0.4,-0.05,0.14,0.74,0.69,5.97,185.21,204.89,183.86,128.65,206.03,153.20,155.50,194.63,232.25,225.21
03/2014,0.92,1.92,0.33,0.38,0.31,1.38,-1.26,0.43,0.79,0.53,186.91,208.83,184.47,129.14,206.67,155.32,153.54,195.47,234.09,226.40
04/2014,0.67,1.19,0.87,0.2,0.47,0.32,0.02,1.01,0.31,0.03,188.17,211.31,186.07,129.40,207.64,155.81,153.57,197.44,234.81,226.47
05/2014,0.46,0.58,0.61,1.03,0.84,-0.45,0.11,0.98,0.8,0.13,189.03,212.54,187.21,130.73,209.38,155.11,153.74,199.38,236.69,226.77
06/2014,0.4,-0.11,0.55,0.38,0.49,0.37,-0.02,0.6,1.57,0.02,189.79,212.30,188.23,131.23,210.41,155.69,153.71,200.58,240.41,226.81
07/2014,0.01,-0.15,1.2,0.86,-0.24,-0.98,-0.79,0.5,0.12,0.04,189.81,211.98,190.49,132.36,209.91,154.16,152.50,201.58,240.70,226.90
08/2014,0.25,-0.15,0.94,0.47,-0.15,0.33,0.1,0.41,0.09,0.43,190.28,211.67,192.28,132.98,209.59,154.67,152.65,202.41,240.91,227.88
09/2014,0.57,0.78,0.77,0.34,0.57,0.63,0.13,0.33,0.39,0.18,191.37,213.32,193.76,133.43,210.79,155.64,152.85,203.07,241.85,228.29
10/2014,0.42,0.46,0.68,0.19,0.62,0.39,-0.05,0.39,0.36,0.11,192.17,214.30,195.08,133.68,212.09,156.25,152.77,203.87,242.72,228.54
11/2014,0.51,0.77,0.69,-0.04,0.39,0.43,0.08,0.42,0.48,0.21,193.15,215.95,196.43,133.63,212.92,156.92,152.89,204.72,243.89,229.02
12/2014,0.78,1.08,0.51,0,0.85,1.38,0,0.47,0.7,0.07,194.66,218.28,197.43,133.63,214.73,159.09,152.89,205.68,245.60,229.18
01/2015,1.24,1.48,2.42,-0.28,-0.69,1.83,0.15,0.32,1.68,0.31,197.07,221.51,202.21,133.26,213.25,162.00,153.12,206.34,249.72,229.89
02/2015,1.22,0.81,1.22,0.87,-0.6,2.2,-0.02,0.6,0.86,5.88,199.48,223.31,204.67,134.41,211.97,165.56,153.09,207.58,251.87,243.41
